+--------------------------------------------+--------+----------+------------+--------+----------+--------+------------+----------+---------+-------------+-----------+---------+-------------+-----------+
|                    APK                     | FDT(s) | MaxM(MB) |    #PE     | #Leaks | #Results | CDT(s) | CDMaxM(MB) | #CDRDPEs | AGCT(s) | AGCMaxM(MB) | #AGCRDPEs | NGCT(s) | NGCMaxM(MB) | #NGCRDPEs |
+--------------------------------------------+--------+----------+------------+--------+----------+--------+------------+----------+---------+-------------+-----------+---------+-------------+-----------+
|          bus.chio.wishmaster_1002          |  7200  |  145808  | 707023949  |   9    |   125    |  5079  |   124938   | 2800291  |   5595  |    147470   |  1571320  |   5686  |    138183   |  1542295  |
|        com.adobe.reader_19.2.1.9183        |  601   |   4720   |  14183957  |   24   |    30    |  382   |    4701    |   7604   |   212   |     4707    |    897    |   179   |     2041    |    863    |
|        com.alfray.timeriffic_10905         |   44   |   4592   |  13645340  |   16   |    16    |   22   |    2912    |  33500   |    17   |     4508    |   24787   |    19   |     3910    |   23696   |
|           com.app.Zensuren_1.21            |   45   |   6618   |  25934964  |   9    |    36    |   40   |    6384    |  66696   |    52   |     4902    |   27794   |    51   |     7435    |   29750   |
|   com.emn8.mobilem8.nativeapp.bk_5.0.10    |  226   |   3119   |  6654121   |   29   |    45    |  152   |    2261    |  11988   |   143   |     2568    |    3167   |   131   |     2982    |    2460   |
|        com.genonbeta.TrebleShot_98         |  400   |  16114   |  63757289  |   1    |   156    |  194   |    7822    |  55586   |   188   |     6294    |   23043   |   172   |     5043    |   23223   |
|       com.github.axet.bookreader_375       |  6298  |  198082  | 1520810625 |   2    |    4     |   -1   |     -1     | 3761606  |   5823  |    140509   |  3360339  |   5633  |    132603   |  3394491  |
|    com.github.axet.callrecorder_1.6.44     |  115   |  14079   |  47354410  |   13   |    63    |  116   |   10198    |  104506  |   121   |     9452    |   27492   |   122   |    10019    |   27345   |
|      com.github.axet.callrecorder_219      |   88   |  12877   |  34421086  |   8    |    60    |   49   |    8962    |  53192   |    44   |     6823    |    6678   |    46   |     5289    |    6929   |
|  com.github.yeriomin.dumbphoneassistant_5  |   5    |   554    |  1956381   |   2    |    5     |   3    |    420     |   2374   |    4    |     874     |    1913   |    4    |     250     |    2113   |
|       com.igisw.openmoneybox.3.4.1.8       |  281   |  25698   | 109194591  |   17   |    42    |  238   |   21772    |  325497  |   204   |    16074    |   111240  |   197   |    17675    |   106701  |
|          com.ilm.sandwich_2.2.4f           |   4    |   456    |  1281638   |   10   |    13    |   4    |    404     |   2290   |    5    |     2188    |    1197   |    5    |     758     |    1201   |
|      com.kanedias.vanilla.metadata_5       |  1094  |  65534   | 247525909  |   2    |    4     |  273   |   20717    |  299316  |   243   |    14152    |   28155   |   507   |    20941    |   24070   |
| com.kunzisoft.keepass.libre_2.5.0.0beta18  |   8    |   1106   |  2920067   |   5    |    29    |   5    |    1483    |   4514   |    6    |     2319    |    1342   |    6    |     2268    |    1214   |
| com.microsoft.office.word_16.0.11425.20132 |  238   |   6136   |  16088739  |   14   |    75    |  231   |    5450    |  36765   |   207   |     3694    |    6736   |   188   |     5078    |    6774   |
|       com.vonglasow.michael.satstat        |  413   |  41689   | 217455073  |   8    |    17    |  224   |   23831    |  238882  |   227   |    19607    |   144863  |   242   |    23367    |   153268  |
|            dk.jens.backup_0.3.4            |   6    |   499    |   999395   |   4    |    5     |   5    |    1810    |   3032   |    7    |     545     |    2290   |    7    |     1994    |    1991   |
|     name.myigel.fahrplan.eh17_1.33.16      |   81   |   4274   |  12640109  |   3    |    16    |   75   |    3470    |  55748   |    86   |     6845    |   15636   |    73   |     6494    |   13835   |
|      net.ddns.mlsoftlaberge.trycorder      |   2    |   1524   |   876180   |   1    |    1     |   2    |    621     |   564    |    2    |     1215    |    358    |    3    |     800     |    516    |
