+--------------------------------------------+---------------+-----------------+------------+--------------+--------+----------+
|                    APK                     | IFDS Time (s) | Max Memory (MB) | #PathEdges | #RecordedPEs | #Leaks | #Results |
+--------------------------------------------+---------------+-----------------+------------+--------------+--------+----------+
|          bus.chio.wishmaster_1002          |      4538     |      123848     | 588917541  |   1550320    |   9    |   109    |
|        com.adobe.reader_19.2.1.9183        |      188      |       1511      |  4388430   |     865      |   23   |    29    |
|        com.alfray.timeriffic_10905         |       14      |       2512      |  6125447   |    24173     |   15   |    16    |
|           com.app.Zensuren_1.21            |       40      |       3445      |  24366226  |    27701     |   9    |    36    |
|   com.emn8.mobilem8.nativeapp.bk_5.0.10    |      127      |       1908      |  3513845   |     2925     |   21   |    45    |
|        com.genonbeta.TrebleShot_98         |      327      |      14421      |  36116124  |    30069     |   1    |   124    |
|       com.github.axet.bookreader_375       |      6145     |      98983      | 1688342157 |   3307457    |   2    |    4     |
|    com.github.axet.callrecorder_1.6.44     |       93      |       9451      |  35635411  |    26277     |   13   |    44    |
|      com.github.axet.callrecorder_219      |       41      |       7113      |  17432520  |     7503     |   13   |    51    |
|  com.github.yeriomin.dumbphoneassistant_5  |       3       |       648       |   867121   |     1720     |   2    |    5     |
|       com.igisw.openmoneybox.3.4.1.8       |      183      |      13882      |  68122413  |    117990    |   14   |    42    |
|          com.ilm.sandwich_2.2.4f           |       3       |       915       |   798363   |     773      |   9    |    13    |
|      com.kanedias.vanilla.metadata_5       |      343      |      13675      |  48671687  |    19474     |   2    |    4     |
| com.kunzisoft.keepass.libre_2.5.0.0beta18  |       4       |       1114      |  1939898   |     1164     |   4    |    29    |
| com.microsoft.office.word_16.0.11425.20132 |      115      |       3963      |  12287388  |     9488     |   16   |   109    |
|       com.vonglasow.michael.satstat        |      175      |      17282      | 102793314  |    135892    |   8    |    17    |
|            dk.jens.backup_0.3.4            |       6       |       391       |   790270   |     1684     |   3    |    5     |
|     name.myigel.fahrplan.eh17_1.33.16      |       42      |       1927      |  4792849   |     6609     |   5    |    22    |
|            nya.miku.wishmaster             |      1734     |      77578      | 323260171  |    690817    |   4    |    16    |
|           nya.miku.wishmaster_54           |      1707     |      74361      | 337633529  |    709670    |   4    |    16    |
|            org.csploit.android             |       3       |       1225      |   138914   |      92      |   1    |    2     |
|      org.decsync.sparss.floss_1.13.4       |       32      |       3222      |  6546085   |     9600     |   25   |    52    |
|         org.fdroid.fdroid_1008000          |      129      |       3980      |  7695968   |     5955     |   28   |   131    |
|       org.gateshipone.odyssey_1.1.17       |       10      |       1431      |  3777430   |     3316     |   7    |    36    |
|         org.gateshipone.odyssey_30         |       10      |       1457      |  3587936   |     3370     |   9    |    46    |
|          org.lumicall.android_190          |      1952     |      21637      | 163747321  |    49035     |   8    |    21    |
|          org.materialos.icons_2.1          |       30      |       2211      |  13679619  |    54271     |   3    |    14    |
|     org.openpetfoodfacts.scanner_2.9.8     |      5776     |      150954     | 1026837295 |   2265583    |   4    |    13    |
|   org.secuso.privacyfriendlytodolist_2.1   |      120      |       8906      |  56239879  |    80272     |   4    |    16    |
|    org.secuso.privacyfriendlyweather_6     |       19      |       2061      |  7135024   |     5204     |   4    |    38    |
|          org.totschnig.myexpenses          |      117      |      10601      |  40863816  |    25006     |   19   |   475    |
+--------------------------------------------+---------------+-----------------+------------+--------------+--------+----------+
